"scan_id","file","width_px","height_px","dpi","trimmed_px","standard","cutoff","paper","leaf_tone","contrast","n_objects","leaf_px","holes_px","recovered_px","frac_of_image","area_cm2","area_m2","area_cm2_lo","area_cm2_hi","area_sens_pct","area_cm2_dpi","flags"
"7a","7a.tif",2550,3508,300,0,"STANDARD_3inx3in.jpeg",150,247,52,195,1,2108717,1408,0,0.23573,149.1827,0.01491827,148.1514,150.0418,0.63,151.1622,""
"8b","8b.tif",2550,3508,300,0,"STANDARD_3inx3in.jpeg",157,248,66,182,1,1263124,778,0,0.1412,89.3606,0.00893606,88.9474,89.7726,0.46,90.5463,""
"9a","9a.tif",2550,3508,300,0,"STANDARD_3inx3in.jpeg",162,249,75.7,173.3,1,4178000,1340,1725015,0.46706,295.5756,0.02955756,294.1686,297.7378,0.6,299.4976,"touches_edge|interior_recovered"
"ADM_37_VAUG","ADM_37_VAUG.tiff",3400,4676,399.998992919922,2,"POST_IT_NOTE.tiff",201,244,157.6,86.4,1,30229,4,0,0.0019,1.2028,0.00012028,1.1851,1.2249,1.65,1.2189,""
"ADM_37_VAVI","ADM_37_VAVI.tiff",3400,4676,399.998992919922,6,"POST_IT_NOTE.tiff",189,244,134.5,109.4,1,7435,0,0,0.00047,0.2958,2.958e-05,0.2907,0.302,1.9,0.2998,""
"ADM_38_CABI","ADM_38_CABI.tiff",3400,4676,399.998992919922,4,"POST_IT_NOTE.tiff",200,244,155,89,1,12333,82,0,0.00078,0.4907,4.907e-05,0.4376,0.5606,12.54,0.4973,"soft_margin"
"ADM_38_DILA","ADM_38_DILA.tiff",3400,4676,399.998992919922,6,"POST_IT_NOTE.tiff",210,244,176,68,2,2464,32,0,0.00015,0.098,9.8e-06,0.0877,0.1077,10.23,0.0994,"soft_margin|extra_object"
"ADM_38_ORTR","ADM_38_ORTR.tiff",3400,4676,399.998992919922,2,"POST_IT_NOTE.tiff",201,244,159,85,1,4833,56,0,3e-04,0.1923,1.923e-05,0.166,0.2231,14.86,0.1949,"soft_margin"
"ADM_38_SBTD","ADM_38_SBTD.tiff",3400,4676,399.998992919922,6,"POST_IT_NOTE.tiff",208,244,172.7,71.3,1,37809,38,0,0.00238,1.5044,0.00015044,1.4921,1.5189,0.89,1.5246,""
"ADM_38_VAUG","ADM_38_VAUG.tiff",3400,4676,399.998992919922,5,"POST_IT_NOTE.tiff",212,245,178.7,66.3,1,19893,6,0,0.00125,0.7915,7.915e-05,0.7819,0.8023,1.29,0.8021,""
"ADM_42_ABBA","ADM_42_ABBA.tiff",3400,4676,399.998992919922,4,"POST_IT_NOTE.tiff",202,244,160.7,83.3,1,2563,1,0,0.00016,0.102,1.02e-05,0.0907,0.1137,11.28,0.1033,"soft_margin"
"ADM_42_CABI","ADM_42_CABI.tiff",3400,4676,399.998992919922,5,"POST_IT_NOTE.tiff",206,245,167.7,77.3,1,12700,14,0,8e-04,0.5053,5.053e-05,0.4893,0.5241,3.45,0.5121,""
"ADM_42_ORTR","ADM_42_ORTR.tiff",3400,4676,399.998992919922,0,"POST_IT_NOTE.tiff",200,243,157,86,1,1846,2,0,0.00012,0.0735,7.35e-06,0.0558,0.0984,29.01,0.0744,"soft_margin"
"ADM_42_VAUG","ADM_42_VAUG.tiff",3400,4676,399.998992919922,0,"POST_IT_NOTE.tiff",203,245,160.7,84.3,1,16563,0,0,0.00104,0.659,6.59e-05,0.6513,0.6681,1.28,0.6679,""
"ADM_42_VAVI","ADM_42_VAVI.tiff",3400,4676,399.998992919922,4,"POST_IT_NOTE.tiff",206,245,166.7,78.3,1,6817,0,0,0.00043,0.2712,2.712e-05,0.2649,0.2785,2.52,0.2749,""
"ADM_43_CABI","ADM_43_CABI.tiff",3400,4676,399.998992919922,9,"POST_IT_NOTE.tiff",206,244,169,75,1,25997,224,0,0.00164,1.0344,0.00010344,0.9094,1.1856,13.35,1.0483,"soft_margin"
"ADM_43_ORTR","ADM_43_ORTR.tiff",3400,4676,399.998992919922,7,"POST_IT_NOTE.tiff",199,244,153.6,90.4,1,6610,28,0,0.00042,0.263,2.63e-05,0.2124,0.3202,20.5,0.2665,"soft_margin"
"ADM_43_RHGR","ADM_43_RHGR.tiff",3400,4676,399.998992919922,0,"POST_IT_NOTE.tiff",191,243,138.6,104.4,1,9948,12,0,0.00063,0.3958,3.958e-05,0.3812,0.4128,3.99,0.4011,""
"ADM_43_VAUG","ADM_43_VAUG.tiff",3400,4676,399.998992919922,4,"POST_IT_NOTE.tiff",213,244,182.7,61.3,1,14322,22,0,9e-04,0.5699,5.699e-05,0.5639,0.578,1.24,0.5775,""
"ADM_43_VAVI","ADM_43_VAVI.tiff",3400,4676,399.998992919922,0,"POST_IT_NOTE.tiff",199,244,155,89,1,10440,49,0,0.00066,0.4154,4.154e-05,0.4016,0.4312,3.57,0.421,""
"ADM_44_CABI","ADM_44_CABI.tiff",3400,4676,399.998992919922,4,"POST_IT_NOTE.tiff",207,245,169.7,75.3,2,10737,0,0,0.00068,0.4272,4.272e-05,0.4094,0.4507,4.83,0.4329,""
"ADM_44_DILA","ADM_44_DILA.tiff",3400,4676,399.998992919922,7,"POST_IT_NOTE.tiff",217,244,190.8,53.2,2,5432,4,0,0.00034,0.2161,2.161e-05,0.2099,0.2245,3.39,0.219,"extra_object"
"ADM_44_ORTR","ADM_44_ORTR.tiff",3400,4676,399.998992919922,5,"POST_IT_NOTE.tiff",197,243,150.6,92.4,2,1854,0,0,0.00012,0.0738,7.38e-06,0.0608,0.0914,20.77,0.0748,"soft_margin|extra_object"
"ADM_44_SBTD","ADM_44_SBTD.tiff",3400,4676,399.998992919922,7,"POST_IT_NOTE.tiff",197,244,150,94,1,23619,4,0,0.00149,0.9398,9.398e-05,0.9295,0.9516,1.18,0.9524,""
"ADM_44_VAUG","ADM_44_VAUG.tiff",3400,4676,399.998992919922,6,"POST_IT_NOTE.tiff",213,243,183,60,2,17001,115,0,0.00107,0.6765,6.765e-05,0.6695,0.6851,1.15,0.6855,""
"ADM_45_PIMA","ADM_45_PIMA.tiff",3400,4676,399.998992919922,5,"POST_IT_NOTE.tiff",207,244,170.7,73.3,2,1136,1,0,7e-05,0.0452,4.52e-06,0.0424,0.0482,6.43,0.0458,"soft_margin|extra_object"
"ADM_45_RHGR","ADM_45_RHGR.tiff",3400,4676,399.998992919922,2,"POST_IT_NOTE.tiff",197,243,150.6,92.4,2,18259,37,6589,0.00115,0.7265,7.265e-05,0.7059,0.7517,3.15,0.7363,"interior_recovered"
"ADM_45_VAUG","ADM_45_VAUG.tiff",3400,4676,399.998992919922,6,"POST_IT_NOTE.tiff",202,244,159.6,84.3,2,32812,5,0,0.00206,1.3056,0.00013056,1.2942,1.3176,0.9,1.3231,""
"ADM_45_VAVI","ADM_45_VAVI.tiff",3400,4676,399.998992919922,0,"POST_IT_NOTE.tiff",191,244,137.6,106.4,2,7096,3,0,0.00045,0.2824,2.824e-05,0.2675,0.295,4.85,0.2861,"extra_object"
"ADM_46_ABBA","ADM_46_ABBA.tiff",3400,4676,399.998992919922,3,"POST_IT_NOTE.tiff",210,244,177,67,2,4015,0,0,0.00025,0.1598,1.598e-05,0.1524,0.1676,4.78,0.1619,"extra_object"
"ADM_46_BECO","ADM_46_BECO.tiff",3400,4676,399.998992919922,7,"POST_IT_NOTE.tiff",199,243,155.4,87.6,2,152039,18,0,0.00956,6.0496,0.00060496,6.0055,6.1008,0.79,6.1306,""
"ADM_46_ORTR","ADM_46_ORTR.tiff",3400,4676,399.998992919922,2,"POST_IT_NOTE.tiff",192,244,139.6,104.4,2,3536,1,0,0.00022,0.1407,1.407e-05,0.1135,0.1621,17.29,0.1426,"soft_margin|extra_object"
"ADM_46_RHGR","ADM_46_RHGR.tiff",3400,4676,399.998992919922,6,"POST_IT_NOTE.tiff",194,243,145.6,97.4,2,15931,4,0,0.001,0.6339,6.339e-05,0.6113,0.7529,11.17,0.6424,"soft_margin"
"ADM_46_VAUG","ADM_46_VAUG.tiff",3400,4676,399.998992919922,6,"POST_IT_NOTE.tiff",212,244,179.7,64.3,2,10534,4,0,0.00066,0.4191,4.191e-05,0.4124,0.426,1.62,0.4248,""
"ADM_47_CABI","ADM_47_CABI.tiff",3400,4676,399.998992919922,1,"POST_IT_NOTE.tiff",209,245,172.7,72.3,1,10186,134,0,0.00064,0.4053,4.053e-05,0.3724,0.4495,9.51,0.4107,"soft_margin"
"ADM_47_ORTR","ADM_47_ORTR.tiff",3400,4676,399.998992919922,0,"POST_IT_NOTE.tiff",196,243,149.6,93.4,2,2298,0,0,0.00014,0.0914,9.14e-06,0.0826,0.1014,10.29,0.0927,"soft_margin|extra_object"
"ADM_47_PIMA","ADM_47_PIMA.tiff",3400,4676,399.998992919922,0,"POST_IT_NOTE.tiff",197,244,149.6,94.4,2,1818,23,0,0.00011,0.0723,7.23e-06,0.059,0.086,18.7,0.0733,"soft_margin|extra_object"
"ADM_47_VAUG","ADM_47_VAUG.tiff",3400,4676,399.998992919922,5,"POST_IT_NOTE.tiff",211,245,177.7,67.3,2,21418,13,0,0.00135,0.8522,8.522e-05,0.843,0.8632,1.19,0.8636,""
"ADM_50_RHGR","ADM_50_RHGR.tiff",3400,4676,399.998992919922,6,"POST_IT_NOTE.tiff",200,244,155.6,88.4,2,25099,1,0,0.00158,0.9987,9.987e-05,0.9875,1.0106,1.16,1.0121,""
"ADM_50_VAUG","ADM_50_VAUG.tiff",3400,4676,399.998992919922,0,"POST_IT_NOTE.tiff",200,244,157,87,1,10434,2,0,0.00066,0.4152,4.152e-05,0.4053,0.4268,2.59,0.4207,""
"ADM_50_VAVI","ADM_50_VAVI.tiff",3400,4676,399.998992919922,6,"POST_IT_NOTE.tiff",183,242,124,118,1,6906,0,0,0.00043,0.2748,2.748e-05,0.2685,0.2819,2.44,0.2785,""
"ADM_52_RHGR","ADM_52_RHGR.tiff",3400,4676,399.998992919922,0,"POST_IT_NOTE.tiff",197,245,149.6,95.4,1,20306,35,0,0.00128,0.808,8.08e-05,0.7944,0.8181,1.47,0.8188,""
"ADM_52_VAUG","ADM_52_VAUG.tiff",3400,4676,399.998992919922,2,"POST_IT_NOTE.tiff",211,245,176.7,68.3,1,25548,15,0,0.00161,1.0166,0.00010166,1.0083,1.0257,0.85,1.0302,""
"ADM_53_BECO","ADM_53_BECO.tiff",3400,4676,399.998992919922,0,"POST_IT_NOTE.tiff",196,244,148.4,95.6,2,70840,0,0,0.00446,2.8187,0.00028187,2.7887,2.8504,1.09,2.8565,""
"ADM_53_RHGR","ADM_53_RHGR.tiff",3400,4676,399.998992919922,0,"POST_IT_NOTE.tiff",193,244,142,102,2,22566,83,0,0.00142,0.8979,8.979e-05,0.8523,0.9361,4.66,0.9099,""
"ADM_55_ABBA","ADM_55_ABBA.tiff",3400,4676,399.998992919922,6,"POST_IT_NOTE.tiff",206,244,167,77,2,3781,78,0,0.00024,0.1504,1.504e-05,0.1274,0.1732,15.22,0.1525,"soft_margin|extra_object"
"ADM_55_CABI","ADM_55_CABI.tiff",3400,4676,399.998992919922,6,"POST_IT_NOTE.tiff",207,245,168.7,76.3,2,18201,6,3318,0.00114,0.7242,7.242e-05,0.5474,0.7417,13.42,0.7339,"soft_margin|interior_recovered"
"ADM_55_COCA","ADM_55_COCA.tiff",3400,4676,399.998992919922,7,"POST_IT_NOTE.tiff",204,244,164,80,2,119262,12,0,0.0075,4.7454,0.00047454,4.7115,4.7812,0.73,4.809,""
"ADM_55_RHGR","ADM_55_RHGR.tiff",3400,4676,399.998992919922,4,"POST_IT_NOTE.tiff",190,242,137.6,104.5,2,19184,99,0,0.00121,0.7633,7.633e-05,0.7311,0.7858,3.58,0.7736,""
